agent_code,agent_name,agent_age,tenure_months,unique_proposal,unique_quotations,unique_customers,proposal_intensity,quotation_intensity,customer_intensity,proposal_to_quotation_ratio,customer_recency,proposal_recency,quotation_recency,is_new_agent,nill_probability,risk_segment,performance_class
AG001,Agent 1,43,31,57,42,25,4.55281214361949,1.6356014976642008,0.15669999500732046,0.8894259477776661,0.7130562185477466,0.16834698227999445,0.7480232970358172,1,0.30743801032972184,Medium-Low Risk,Medium-High
AG002,Agent 2,48,13,88,55,0,3.23353254926369,2.160767920173416,0.6755942655605016,0.9942131439075791,0.21496660183558802,0.5957489387130932,0.9454748140544219,1,0.6676196581044427,Medium-High Risk,Medium-Low
AG003,Agent 3,32,40,8,1,31,1.0267677202061265,1.0575203685249277,0.562781874366322,0.3128635650328304,0.39960467492663476,0.6028039535503209,0.20180838496702325,1,0.07327724224932097,Low Risk,High
AG004,Agent 4,37,32,39,75,3,1.5330622555959632,0.705179424787727,2.723999896542445,0.0008907975356917675,0.01801317400246627,0.11029528622197149,0.3712477155457977,1,0.8791055017215524,High Risk,Low
AG005,Agent 5,32,11,74,12,25,1.7775645831757492,2.1074196741386184,1.953721031253144,0.2077570840991565,0.6488547003010401,0.03250608363884877,0.9946112193344455,0,0.2895628226708946,Medium-Low Risk,Medium-High
AG006,Agent 6,57,29,95,73,0,0.7612739975055488,1.8802176398068218,2.4791952119714704,0.9981945749251355,0.5188768381210154,0.3539171774123432,0.14046206733948907,1,0.20560374140135418,Low Risk,High
AG007,Agent 7,40,45,34,16,6,0.024266328641716628,1.664678564589137,1.787979637184936,0.567685672805959,0.5142972936662306,0.23065529574640886,0.7978474196147851,1,0.5886940933270882,Medium-High Risk,Medium-Low
AG008,Agent 8,53,47,96,78,18,2.69054911166466,0.03356264996812319,0.8724174336329757,0.7582042820934691,0.6773879586263686,0.03980558226257014,0.5805094205515154,1,0.3908490541532056,Medium-Low Risk,Medium-High
AG009,Agent 9,44,19,89,16,17,3.858097291041717,1.0396617455231367,1.8594367271905576,0.6546829988025983,0.875594461517639,0.12067707866635469,0.06488648459883095,0,0.21515717816922775,Low Risk,High
AG010,Agent 10,38,36,64,13,20,3.8025450784957373,2.1125399213731484,0.7149409595292375,0.4411789170777922,0.22630025565456668,0.8969006166620092,0.5788540779172906,0,0.7192891361125088,Medium-High Risk,Medium-Low
AG011,Agent 11,39,43,53,17,46,2.520960830734642,3.1644794204231954,2.875024595904346,0.14822396470664823,0.5921162707360477,0.40893280214687977,0.9925145013879738,1,0.8754197149856148,High Risk,Low
AG012,Agent 12,37,21,16,50,18,3.2974374626193512,2.204300895784414,1.2168581816876083,0.8924484668447632,0.13131106838441753,0.29714308004425327,0.10651173695647576,1,0.7347374655428668,Medium-High Risk,Medium-Low
AG013,Agent 13,30,32,15,73,8,2.502991137858457,3.469948644847279,0.0877341941092944,0.7452452203935196,0.6602183211707783,0.5681245664569657,0.9504272929560917,1,0.1614845796644907,Low Risk,High
AG014,Agent 14,35,49,97,12,28,2.446076199841985,0.7105371894531287,1.24318523627893,0.6860380521678011,0.4768178649650118,0.07806658613153483,0.866084753587343,0,0.5931168776478657,Medium-High Risk,Medium-Low
AG015,Agent 15,37,7,85,72,32,1.2818211524793044,2.0492874714825193,1.987301292969214,0.011941990797087021,0.9257697475217809,0.905814559275899,0.4285815553382122,1,0.607464595549653,Medium-High Risk,Medium-Low
AG016,Agent 16,56,34,23,25,40,1.2241232481724063,2.1951300939349974,1.7255333878505248,0.5607714577254932,0.1701800508111071,0.9221436513827765,0.7747811133438357,0,0.26044693189810575,Medium-Low Risk,Medium-High
AG017,Agent 17,32,11,6,0,22,0.7055851321172762,1.7865020807822187,0.9843993922169516,0.625793862021087,0.962096547928825,0.3895355723135282,0.35877966792358373,1,0.5257776755807176,Medium-High Risk,Medium-Low
AG018,Agent 18,40,22,74,73,21,0.33783391529395745,3.517790956882029,1.736691902384517,0.9905915606033946,0.7359687474597529,0.40498177336032126,0.1593585396783479,1,0.07666725340796376,Low Risk,High
AG019,Agent 19,37,46,57,5,3,2.076895040603613,3.3189644726795824,2.4133498929533865,0.014781919590504233,0.5138441098139254,0.0852755153875635,0.7038213960494439,1,0.89096525228454,High Risk,Low
AG020,Agent 20,57,59,64,23,0,0.9873119325748109,1.8901655213716038,1.2847826366180768,0.8783858658856342,0.9437521425442529,0.761660613409712,0.30574468942336086,1,0.5502699161044661,Medium-High Risk,Medium-Low
AG021,Agent 21,55,59,70,45,28,0.6074078713044512,2.9670981814852246,1.251373126557799,0.05747702353239492,0.968607140338257,0.6898115588783739,0.7885032732870563,1,0.13133053451798726,Low Risk,High
AG022,Agent 22,39,7,72,78,25,3.774552247757496,2.4853021626614744,2.385766720248176,0.07021142960722748,0.4079991329819903,0.6572375867618205,0.2826139543489604,0,0.837788533621172,High Risk,Low
AG023,Agent 23,44,42,77,31,1,2.5128516319309795,1.4246901945487074,2.2422940607151904,0.8306836298576321,0.7275123501425725,0.3865253483620589,0.8789782059285665,0,0.6258468414951406,Medium-High Risk,Medium-Low
AG024,Agent 24,46,5,72,29,2,3.7921149811034844,3.2892142771100072,2.520883795135709,0.6783470762436035,0.6859476561568348,0.24379107471682537,0.6385053769332258,1,0.6607702238741465,Medium-High Risk,Medium-Low
AG025,Agent 25,43,33,29,31,15,1.280793163518349,0.19687340018496036,1.3474034665550105,0.6387944502706875,0.4676221425754,0.7377603547176798,0.45801058627876967,1,0.06948172421645726,Low Risk,High
AG026,Agent 26,41,25,90,7,26,4.197439544529326,1.8052480897449685,1.505583763213414,0.35555422249719937,0.9456637017492899,0.6235227407312821,0.16492081376641077,0,0.049397978645310925,Low Risk,High
AG027,Agent 27,42,56,37,14,9,3.035149791715171,3.861796118976443,1.6007372932218997,0.3143485230400477,0.4365937426447364,0.40776982198464184,0.9928124143793051,1,0.3130415842605413,Medium-Low Risk,Medium-High
AG028,Agent 28,51,58,5,51,4,3.1892439612603853,0.7273627818664754,1.6738740846109001,0.3931078906865555,0.13255596451762375,0.7474642513928853,0.6853398877654246,0,0.5164885728661119,Medium-High Risk,Medium-Low
AG029,Agent 29,37,27,53,3,17,4.462613547486379,3.9904970093075938,1.8171867273306708,0.43582045713978845,0.0679718494623277,0.8610406865613774,0.10758215196729393,1,0.8890974272968829,High Risk,Low
AG030,Agent 30,54,12,57,41,48,2.350117982445844,3.193626784761911,2.2456284969798306,0.3508614722626623,0.9184305821866998,0.06034872231267829,0.5001983900311252,1,0.7149319821735279,Medium-High Risk,Medium-Low
AG031,Agent 31,56,57,13,2,43,2.5315618563175804,1.5666899101881313,0.16387440474596937,0.3150531749911646,0.3326024568381568,0.5429769628402901,0.009704060976183926,0,0.6056716973022919,Medium-High Risk,Medium-Low
AG032,Agent 32,31,19,20,50,8,1.3674394122462634,1.5134734521636273,2.5885689626413004,0.5078710220535302,0.025687504973101682,0.09577013710414528,0.8856452963181874,0,0.2865070590098948,Medium-Low Risk,Medium-High
AG033,Agent 33,40,31,15,47,36,0.7716019985380634,3.7089748225473227,2.78007321687848,0.4631280751154673,0.5262776758852249,0.32599716642929566,0.25528717773105813,1,0.06608160021841103,Low Risk,High
AG034,Agent 34,48,25,65,42,43,3.7999914336758778,3.585778304997196,2.806095590263974,0.7343112723150792,0.4271180126367309,0.1533587022075451,0.8505447735619818,0,0.4143725633715497,Medium-Low Risk,Medium-High
AG035,Agent 35,49,36,25,54,20,0.9050906066068204,3.887161878980131,1.703052559853155,0.05368686488226282,0.1882854191788288,0.5058995172593646,0.594005758096993,1,0.8954780847957236,High Risk,Low
AG036,Agent 36,47,29,68,41,7,1.842989760800896,3.096347996470397,1.376942360382869,0.7920278367242021,0.5463601139756558,0.44764401334100024,0.04956933981456224,0,0.2006205739335215,Low Risk,High
AG037,Agent 37,55,16,8,32,45,0.8468534669554145,3.0322685996824217,1.6080854104096627,0.6770362399710016,0.13295920319124443,0.2309353778528762,0.5889724191757234,0,0.3164590262366267,Medium-Low Risk,Medium-High
AG038,Agent 38,50,26,87,18,17,1.2863378651540591,0.6061960452612141,1.655660245718713,0.6547275241111139,0.4876272175387907,0.2492999990482746,0.8255614763762813,0,0.02132199954668368,Low Risk,High
AG039,Agent 39,29,39,61,61,23,2.3761497388842425,1.4613642977700785,1.5769810816080938,0.8333392033907513,0.23871369530440034,0.24713506715835565,0.5512553287442964,0,0.4908991010464344,Medium-Low Risk,Medium-High
AG040,Agent 40,39,11,71,73,12,3.084246174330423,1.5254208013083987,1.8070087681010887,0.016458480492922756,0.32262251020493415,0.7302795360550507,0.5989501124667447,0,0.28894252205091175,Medium-Low Risk,Medium-High
AG041,Agent 41,27,6,17,20,49,1.9563432889349308,0.8201086995864846,1.7556229307968698,0.9238461970345185,0.8646373418361588,0.38158230416033767,0.6087916873901664,1,0.4650059050129406,Medium-Low Risk,Medium-High
AG042,Agent 42,44,31,64,44,42,0.35139141221049663,2.61258641102792,1.4176431985616962,0.8736781508628231,0.21030569176153402,0.22846312855766704,0.5165088007966157,1,0.8197099244145247,High Risk,Low
AG043,Agent 43,30,24,74,60,33,1.804459416843851,1.5616675931668396,0.07004513376413202,0.6064160619952411,0.842338550439746,0.23249215501196063,0.3972672281088784,1,0.807387253350327,High Risk,Low
AG044,Agent 44,48,14,66,59,16,0.7444907446212318,1.8769040916415993,1.1392109667762305,0.4370658792204929,0.12483080302143756,0.7676256913338378,0.721136748940871,1,0.34715864233638183,Medium-Low Risk,Medium-High
AG045,Agent 45,55,19,8,36,35,3.837308133627215,3.3261391631080057,2.7036892085635094,0.13184990752255343,0.5055045808229642,0.7353501220184475,0.21814162122696368,1,0.6567792829920724,Medium-High Risk,Medium-Low
AG046,Agent 46,44,48,4,36,25,3.476411760161792,3.830982653963682,1.1390228994697675,0.18952243895736764,0.03743583569611075,0.12790514501068662,0.7455068540113914,1,0.08167537002720204,Low Risk,High
AG047,Agent 47,37,6,45,65,36,3.467758351381542,0.808904917909191,0.4966446501712972,0.21526959585526506,0.3091041913290964,0.9211743471893946,0.8387826877384776,1,0.24132886932539732,Low Risk,High
AG048,Agent 48,40,39,9,56,43,1.027886055986475,3.6622600613593046,2.671730992572521,0.06168913089718142,0.14655195338709937,0.8436834762025605,0.4509384871121589,1,0.2752259317640151,Medium-Low Risk,Medium-High
AG049,Agent 49,52,40,15,70,12,2.765597926848141,1.9974088581570952,1.831026085151411,0.4486638600249756,0.20611733822956102,0.9237804077709302,0.4145288634012777,1,0.3531059197465287,Medium-Low Risk,Medium-High
AG050,Agent 50,40,50,21,20,12,4.056846684641772,3.234234425717948,0.5234542233456432,0.03619997314080181,0.1304895222778083,0.7993295082361216,0.20574580818125743,0,0.9980588167306772,High Risk,Low
AG051,Agent 51,44,20,83,48,10,4.906213488589475,2.8841307822252467,1.783447557928886,0.6369341110474956,0.21115595238947737,0.16384239154297597,0.5676356400502246,0,0.7401449758865207,Medium-High Risk,Medium-Low
