agent_code,agent_name,agent_age,tenure_months,unique_proposal,unique_quotations,unique_customers,proposal_intensity,quotation_intensity,customer_intensity,proposal_to_quotation_ratio,customer_recency,proposal_recency,quotation_recency,is_new_agent,nill_probability,risk_segment,performance_class
AG001,Agent 1,41,59,20,45,6,2.6000236263105387,3.306819484720296,1.830477664598719,0.18105435129902858,0.433924678246962,0.45754516048667904,0.7467336526363515,0,0.07363274487659055,Low Risk,High
AG002,Agent 2,36,7,28,39,28,4.9680486464611215,0.5297948796646619,0.18529764903739032,0.5596059855898114,0.5213184205491745,0.7880198669879765,0.773935986909301,1,0.3249308766416308,Medium-Low Risk,Medium-High
AG003,Agent 3,37,59,73,66,47,3.729964088151437,3.7822039517672423,1.0398837791900073,0.3157923106624483,0.07151755117472058,0.17104032394423307,0.6608968182611994,0,0.5443761757778383,Medium-High Risk,Medium-Low
AG004,Agent 4,42,30,46,28,34,2.08401665655329,3.282422033544184,0.5499084858638523,0.3852465060031932,0.5610828812141289,0.5337965751783262,0.9198265875211027,0,0.031854031265043714,Low Risk,High
AG005,Agent 5,46,24,39,2,7,0.8996008325375371,2.716289701833484,0.7489084824249372,0.6745021188169064,0.887430432844463,0.10533303329840993,0.2345656784000535,0,0.9300277712747665,High Risk,Low
AG006,Agent 6,46,18,99,40,39,0.5713310724575427,3.387241600421576,2.6141855131482483,0.23455714553416085,0.4859488725455282,0.7347660753985724,0.2639792819200769,1,0.2511168272067087,Medium-Low Risk,Medium-High
AG007,Agent 7,45,47,89,11,21,0.10846503037619526,2.535963566373671,1.9702327099543964,0.8331741586991006,0.19069534259197485,0.26673790778718387,0.5846599778624244,1,0.49713706758058107,Medium-Low Risk,Medium-High
AG008,Agent 8,58,21,69,44,1,4.383838125452694,0.8118495593525785,2.0077551684555583,0.5568682281333376,0.7926916757072644,0.6359747874282797,0.7580147872812866,1,0.7712840824487881,High Risk,Low
AG009,Agent 9,54,12,96,69,31,1.403752494995394,0.7488904977256365,2.2152976502463533,0.5346473057134077,0.7851273636874462,0.14281264804007132,0.9331991734920294,1,0.2843009051802018,Medium-Low Risk,Medium-High
AG010,Agent 10,44,46,66,19,18,1.9962750486940684,1.255535595283984,2.6447534859227066,0.09761698508291372,0.9153827042587604,0.9983188488741455,0.7756746838013394,1,0.7173656900765273,Medium-High Risk,Medium-Low
AG011,Agent 11,37,54,41,28,20,1.2842753424911446,1.787960244527027,1.614329544740046,0.8812391726639163,0.55887458386862,0.9560200396491714,0.5803827046997365,0,0.11275353888141715,Low Risk,High
AG012,Agent 12,28,28,27,26,6,0.6334523693463995,3.7954822229196457,2.9447857953456555,0.11526752695471632,0.0985549894311637,0.7729912359022413,0.9130847869276716,1,0.6149071749236329,Medium-High Risk,Medium-Low
AG013,Agent 13,54,35,12,32,5,2.9227973357114982,2.9286198004549355,2.694031627833755,0.0984022723381579,0.7575826946562031,0.7265742797952867,0.9744804993132384,1,0.7963496301418624,High Risk,Low
AG014,Agent 14,31,42,85,25,10,1.3902657926614808,3.8865892365377137,2.5560464632056057,0.15700855406802472,0.28034466391624957,0.3248727095589995,0.724916129540714,1,0.9305096131556669,High Risk,Low
AG015,Agent 15,47,26,46,44,44,0.016272473545321797,2.4803462023092426,1.2971808804394067,0.7410792550277433,0.0962013022218976,0.928204492113131,0.6762007469011339,1,0.6854921422320609,Medium-High Risk,Medium-Low
AG016,Agent 16,29,4,48,9,31,3.776596423104654,1.5709172090888663,0.9125975761015841,0.02294143951778127,0.7051589257242104,0.21278990757016136,0.262496036935593,1,0.18576683344355338,Low Risk,High
AG017,Agent 17,51,41,88,54,41,1.5594833556081307,1.6853820451896633,1.3526323791888637,0.5739695878963754,0.6535787101292805,0.6917644042041237,0.2886945181598143,1,0.9302640909483548,High Risk,Low
AG018,Agent 18,49,25,80,10,44,4.636128022133695,3.8477918866351057,2.1152721257588807,0.4051251943409928,0.5647047384404253,0.46883217510478825,0.8192919529194542,1,0.22658616510753082,Low Risk,High
AG019,Agent 19,37,9,90,54,13,0.6277000421485418,2.2089625243744506,2.731871680703061,0.9671774868611922,0.03767531348942288,0.9323177244592653,0.6806417056283822,1,0.2368953470502012,Low Risk,High
AG020,Agent 20,43,23,56,10,14,2.9232968158262116,0.10949108588379985,2.483244345994028,0.5259976203460516,0.9545248005352427,0.07813170845862871,0.9245827961085286,1,0.9745151738985569,High Risk,Low
AG021,Agent 21,31,36,29,58,23,4.334359201941403,2.8789226659549136,1.8223737466962535,0.6286706152894808,0.4513131826744453,0.6423840004332837,0.3251029234203564,0,0.7072859439288404,Medium-High Risk,Medium-Low
AG022,Agent 22,29,6,96,66,8,1.982305576541707,1.6866061093959326,1.56064512629884,0.08806667882907204,0.23384801138634592,0.1238185988892655,0.5772818024643587,1,0.21028791546443304,Low Risk,High
AG023,Agent 23,33,55,24,67,46,3.987776627917861,1.366072430363117,2.2117605650884182,0.49920685104560814,0.45617316341657,0.9143629670520532,0.17038505959540906,0,0.008353518630615175,Low Risk,High
AG024,Agent 24,29,40,9,63,19,4.278555660233719,2.91051411052736,1.8500442283036906,0.7585881695555278,0.2236940838927276,0.5997956736686332,0.05028697051214204,1,0.05435745995002206,Low Risk,High
AG025,Agent 25,58,23,46,61,19,2.0589711621350655,0.5800057505025702,0.7329470650221891,0.7690793106616135,0.6666320613474955,0.7368021542935855,0.2510934253668977,0,0.4663367747817685,Medium-Low Risk,Medium-High
AG026,Agent 26,35,38,40,7,31,4.385160439120724,0.9374721827075319,1.1766805176237487,0.4499272111167738,0.956917089920683,0.57553988504757,0.3414979055650098,0,0.7540121963582384,High Risk,Low
AG027,Agent 27,45,33,55,19,5,2.6670438701191475,2.504666437477014,1.751933312005341,0.7279710474602136,0.1348385451434626,0.9139207289043243,0.8598735079029141,0,0.8815653185944785,High Risk,Low
AG028,Agent 28,46,31,76,48,39,0.7788481634700267,3.0737947645925097,1.6139338763353803,0.37486712283322154,0.9290775207577033,0.1865221723412479,0.34118637716249745,1,0.47039489607054874,Medium-Low Risk,Medium-High
AG029,Agent 29,58,43,63,49,39,0.6822611275665202,3.4384782605625914,1.3881856936233814,0.5502868669434348,0.821742441495408,0.36744039467681067,0.6330941167674662,0,0.1639527175420188,Low Risk,High
AG030,Agent 30,32,57,13,55,6,2.9884568540903778,2.52774469704772,2.0765674672951624,0.0021234005928827404,0.5049638699410719,0.9974480487660248,0.13966409728041396,1,0.5341760178720831,Medium-High Risk,Medium-Low
AG031,Agent 31,34,28,52,18,30,2.9625573910059826,2.6939989683623926,0.7342456199907301,0.7366224405415664,0.5749982585848398,0.3692343405912224,0.20861368149524262,1,0.3936704610724001,Medium-Low Risk,Medium-High
AG032,Agent 32,25,9,90,4,35,4.4591336123812315,2.361945039970731,1.9408684052596434,0.07989008082613114,0.3425080271417622,0.2618527890918997,0.46361932199293854,1,0.48545539574658225,Medium-Low Risk,Medium-High
AG033,Agent 33,28,23,13,12,15,0.5876032387100466,1.2308082486615977,0.14992220935135114,0.5106146877358868,0.6934082920375592,0.038630522771588405,0.2880444163516148,0,0.02307898250785423,Low Risk,High
AG034,Agent 34,36,39,4,55,45,3.3135058693269808,0.6809053465419996,2.79074460812887,0.8010467388765886,0.27408116527038384,0.48733496656632846,0.039198352517162194,0,0.3861731346184115,Medium-Low Risk,Medium-High
AG035,Agent 35,45,2,13,38,2,3.837691060643812,2.073994141688504,0.5923552957553726,0.594383619033371,0.2556883707964869,0.12129350899604319,0.18961416362030392,1,0.0871955291872748,Low Risk,High
AG036,Agent 36,35,57,27,21,32,4.585383073497129,0.7525540897621199,1.2881768763202355,0.3618236154047917,0.9068317143950215,0.34270437728927516,0.0270539567431618,1,0.7565488298257417,High Risk,Low
AG037,Agent 37,31,44,88,69,2,3.781902287942574,1.6120081522487348,1.38683098539247,0.20791684424972023,0.25096948245077044,0.9009713220534369,0.5025984858259551,1,0.15514821591717765,Low Risk,High
AG038,Agent 38,52,52,26,58,48,2.852645641391376,2.601276962560067,0.42306101026454945,0.74954013966046,0.5781198676873628,0.46936136066900846,0.7322719448560179,0,0.28254577899987565,Medium-Low Risk,Medium-High
AG039,Agent 39,43,14,14,58,30,4.267478037419949,0.44357653248879503,0.8909834147653625,0.7411312629977812,0.30576665735154696,0.25521331767411515,0.26563764044003824,1,0.4699413513029733,Medium-Low Risk,Medium-High
AG040,Agent 40,58,35,19,68,0,2.879478349945675,0.5616082849304931,2.583902701820829,0.23543567998715087,0.4147907916802326,0.7305421212895092,0.17685414033103564,1,0.5923838758126031,Medium-High Risk,Medium-Low
AG041,Agent 41,38,21,71,75,25,0.30118763470509347,2.328051253896578,1.7927635276911462,0.20875700352856752,0.028266608070045773,0.7118223926294598,0.20014286983628993,1,0.38736021224326256,Medium-Low Risk,Medium-High
AG042,Agent 42,57,42,35,9,25,0.812328733095381,2.6709150027269395,0.8227965458471869,0.20565317376795222,0.618252583358305,0.6384423240096717,0.8248306138092284,1,0.2159113312880645,Low Risk,High
AG043,Agent 43,48,2,34,63,16,1.39213188325229,3.4089482032431833,2.028901919640189,0.8361992470611439,0.7237300272989607,0.7775865602982721,0.20322696925880168,0,0.8757623708310225,High Risk,Low
AG044,Agent 44,55,55,58,11,40,0.8103618639213761,1.2135881270555737,2.203605922477379,0.42088949867170045,0.4195112009427563,0.6087842835252424,0.8857337825969789,1,0.10076977890406102,Low Risk,High
AG045,Agent 45,42,32,3,68,30,0.7147804313809486,2.1746958930104316,1.2873913014767477,0.052345804479114966,0.2081814763787826,0.553304184554134,0.9537116746964583,1,0.39966236980510983,Medium-Low Risk,Medium-High
AG046,Agent 46,25,46,9,32,28,3.643717128482098,2.2681205785320273,0.4691542307946476,0.6927463300015884,0.6024974232087442,0.9211683026391139,0.23643491232568048,0,0.38213243219531123,Medium-Low Risk,Medium-High
AG047,Agent 47,39,1,85,62,0,2.874405175549727,3.3378247355754236,0.05533292914352517,0.5858973384414758,0.16101477227067218,0.7457774254419708,0.48113495694876707,1,0.033692304622164215,Low Risk,High
AG048,Agent 48,36,51,97,56,27,0.27321533218901073,0.9862425609467684,0.9805374477153226,0.47078507463052355,0.6275757466796055,0.42773271303184524,0.9096864921360641,1,0.194466338729544,Low Risk,High
AG049,Agent 49,25,17,87,34,35,2.878987659770604,1.2084529619000262,0.760135688185066,0.9795204886992765,0.9504767878791792,0.26095537220514875,0.12631047967138154,1,0.675459366601972,Medium-High Risk,Medium-Low
AG050,Agent 50,25,19,86,48,21,1.4058834423677875,1.4578110749344781,0.0581109824568935,0.8035291370019053,0.8593947042544762,0.3892841926217351,0.5259886281308724,1,0.5244566942766931,Medium-High Risk,Medium-Low
AG051,Agent 51,52,6,73,29,20,0.8334392676309033,3.0587048234657668,1.7080273764192513,0.5695287339521098,0.6077640878287446,0.27968561932682734,0.4241822844598778,1,0.035288211590870255,Low Risk,High
AG052,Agent 52,36,28,25,46,40,0.9983070396075056,0.21458131096556166,0.22458124989464223,0.7567358507366869,0.6254811606798721,0.6623772153486183,0.009798837512768,1,0.3736113231997664,Medium-Low Risk,Medium-High
AG053,Agent 53,34,7,28,56,35,4.37722928357657,2.085015999024914,2.563315921971996,0.6237058959092939,0.29827629664974287,0.27795089545989693,0.8989045618320739,0,0.7469935563722457,Medium-High Risk,Medium-Low
AG054,Agent 54,29,21,54,59,37,4.703081055738223,1.1994070848535556,2.3275087450914964,0.173901063371677,0.0359837289075462,0.30975821647147994,0.829823527357764,0,0.22265710135111705,Low Risk,High
AG055,Agent 55,39,16,87,11,30,2.166862604714401,1.3280613844278348,2.786665350709295,0.6870124165693513,0.11383978408603834,0.10841627527013076,0.8731748411394652,1,0.5704620056401285,Medium-High Risk,Medium-Low
AG056,Agent 56,49,25,26,34,32,2.220229302742951,1.115940836652105,2.1273327121037835,0.10136077119392195,0.5022526177352017,0.8573663520810237,0.9141401175424954,1,0.5114931208002582,Medium-High Risk,Medium-Low
AG057,Agent 57,59,10,18,36,17,1.628366560803904,3.462092273038454,1.3816301288311377,0.28659013556144,0.28835201928694965,0.529988184772344,0.383580068851362,1,0.37290253143818286,Medium-Low Risk,Medium-High
AG058,Agent 58,42,3,14,55,36,0.5028577939176992,3.6925795164981734,2.9556582865311842,0.029343118693914483,0.10525697414947399,0.9655164423939716,0.8594099890688732,1,0.5547324866659178,Medium-High Risk,Medium-Low
AG059,Agent 59,58,2,93,31,30,1.8332617986750184,0.024779883224923083,0.22301299457387636,0.24480082278771964,0.03855780291968958,0.4696730689820874,0.9253288704833252,1,0.9146033221312223,High Risk,Low
AG060,Agent 60,48,47,47,12,37,2.384495672052066,2.0939151390041677,1.320568756155792,0.07726462819947033,0.07470060697345682,0.7388582125542801,0.6864187048307293,1,0.8214656208038896,High Risk,Low
AG061,Agent 61,32,52,95,20,43,1.486026675939331,0.5609302010441741,2.5683337868404483,0.14789521192571775,0.7137820377078371,0.5755228441729625,0.46010447055769144,0,0.6434686310772789,Medium-High Risk,Medium-Low
AG062,Agent 62,50,32,54,39,11,2.2191944326949953,3.8329554758374482,0.2122958616917272,0.9895132369540103,0.8743924464959758,0.9168899553241047,0.3958851972994696,0,0.20907050723835163,Low Risk,High
AG063,Agent 63,45,24,62,13,35,2.620787004401197,3.275142989024263,1.7286321246464267,0.4236718076175703,0.9563146979432924,0.8009087563233108,0.0947276445961529,0,0.4757948111816558,Medium-Low Risk,Medium-High
AG064,Agent 64,36,9,62,23,42,4.8792113373845885,1.1540322087748582,1.2285855461024133,0.7590073096438263,0.37333735339671204,0.11406980473998873,0.27468849079851976,1,0.8686478287691235,High Risk,Low
AG065,Agent 65,41,18,50,70,43,1.001030724820633,3.8645973972395806,1.441584385231467,0.5560941777400177,0.9685939730013526,0.10800828242629679,0.028829203826480354,0,0.2360330456887102,Low Risk,High
AG066,Agent 66,44,23,64,54,44,2.1361712755598457,2.73172691906313,0.023364445338742268,0.35065913564997586,0.35907182467739684,0.6109999268035811,0.6675283332741535,0,0.6531648365215588,Medium-High Risk,Medium-Low
AG067,Agent 67,42,53,89,46,10,3.3622433298524927,0.7269712954336409,2.206895733267082,0.8801059739704187,0.997684311314981,0.9717300386120878,0.4305590390633114,0,0.1393278654923582,Low Risk,High
AG068,Agent 68,40,23,0,27,41,3.2226763656976845,3.0998471256089535,2.4229503448798955,0.38974060816388356,0.5532806510756981,0.9959883104133641,0.6781673668431014,0,0.25312676084069674,Medium-Low Risk,Medium-High
AG069,Agent 69,38,52,71,2,16,1.4523191495986238,2.9322639429024946,2.502891763483821,0.09643889526862703,0.8043719158386655,0.7949193278989316,0.2519537369879684,1,0.595749087922528,Medium-High Risk,Medium-Low
AG070,Agent 70,46,40,93,42,40,0.1635756331200422,0.08496378780005731,1.7745361346606132,0.8862887694514884,0.397295520378093,0.41107229752676566,0.7426987528478698,0,0.07246336494340444,Low Risk,High
AG071,Agent 71,52,17,26,60,16,0.42143837870127265,1.0706143457044077,0.8496499294587855,0.5082022478295306,0.7252359845131158,0.4827485396908414,0.9588963641001844,1,0.5961650708033058,Medium-High Risk,Medium-Low
AG072,Agent 72,33,32,20,11,32,3.763058567651046,0.9675600821201398,2.6471075905135986,0.6137136845689767,0.9437195766738344,0.8941663654064254,0.4673867433201161,1,0.14497875126250637,Low Risk,High
AG073,Agent 73,26,30,37,15,10,4.6451965737129175,0.5351637749590723,0.5413320886321444,0.31879743385968506,0.2985157380573631,0.4774176827611124,0.9222232724919857,1,0.854105376859535,High Risk,Low
AG074,Agent 74,46,2,9,17,30,1.3597145710388943,2.67251109510127,0.5133937209189806,0.6954775720344856,0.5230313242190201,0.3601708383512586,0.9987363187414603,1,0.987732927142088,High Risk,Low
AG075,Agent 75,55,46,42,43,7,1.8402047649772317,0.1517304011529541,0.8302352587618763,0.002568377065105709,0.07415390229993923,0.8998337564290342,0.18328411762329277,1,0.1681794447193361,Low Risk,High
AG076,Agent 76,27,1,4,25,0,1.0962327047225733,0.673431757691314,0.6624259815690485,0.192415770159584,0.9330778773460663,0.7018373592530622,0.589401034145698,0,0.6666344446372962,Medium-High Risk,Medium-Low
AG077,Agent 77,59,11,36,0,4,1.5504592942309958,3.1083230315112567,2.9389723580889204,0.9014816711832784,0.5512470984095919,0.9910311646870789,0.9252552276570619,0,0.9813608201308468,High Risk,Low
AG078,Agent 78,50,54,90,35,42,4.136047977325665,2.7613713984023027,0.783717467481751,0.08237029555569697,0.8161582299047444,0.9873115929548528,0.6996933374940424,1,0.054482622599724695,Low Risk,High
AG079,Agent 79,50,18,6,31,49,2.8559020837491955,1.2714968599644356,2.447190362904915,0.8319010246398842,0.18438614957118615,0.426359980029969,0.09043613754980195,0,0.18852594268542744,Low Risk,High
AG080,Agent 80,28,39,7,78,25,4.317653241148255,1.000971980773063,1.0390562617245522,0.7465754410147006,0.46929387865756644,0.7625440885538276,0.9690473321103669,0,0.8546794178168277,High Risk,Low
AG081,Agent 81,43,1,10,46,1,4.419611421892821,2.5189436188882346,2.923448433295247,0.5019929553457121,0.8719501877585659,0.9334820798465834,0.9576840377071723,1,0.583295691218224,Medium-High Risk,Medium-Low
AG082,Agent 82,55,42,40,39,15,2.126730682252229,1.9369337047653619,0.2804403393547843,0.3998588769319602,0.07337289307929817,0.7610520224039743,0.46377100458769005,1,0.7820509000668964,High Risk,Low
AG083,Agent 83,56,52,61,51,49,1.6374125004598206,3.177729450606453,2.1667347794418084,0.01950380845479649,0.31721739943743565,0.5168239674558865,0.7855633090127785,1,0.011231915562839867,Low Risk,High
AG084,Agent 84,56,35,89,56,9,2.767825855577126,0.7092124033623146,1.5733989371306265,0.7537067540265315,0.010528556083269525,0.7856149182603531,0.8853222133095177,1,0.08459519469172139,Low Risk,High
